proj,files,totalLines,commentLines,blankLines,lineOfCodes,class,property,method,functions,operator,size(bytes),size
G:\mzkit\src\mzkit\dist\OpenSlide\dzitool\dzitool.vbproj,dzitool\Program.vb,148,5,28,115,1,0,2,3,0,5807,5.81 KB
G:\mzkit\src\mzkit\dist\OpenSlide\dzitool\dzitool.vbproj,dzitool\My Project\Resources.Designer.vb,63,23,8,32,1,2,0,0,0,2799,2.80 KB
G:\mzkit\src\mzkit\dist\OpenSlide\dzitool\dzitool.vbproj,<project>,211,28,36,147,2,2,2,3,0,8606,8.61 KB
G:\mzkit\src\mzkit\msconvertGUI\msconvertGUI.vbproj,msconvertGUI\ApplicationEvents.vb,102,27,13,62,1,0,1,3,0,5321,5.32 KB
G:\mzkit\src\mzkit\msconvertGUI\msconvertGUI.vbproj,msconvertGUI\FormMain.Designer.vb,232,71,5,156,1,0,2,0,0,9672,9.67 KB
G:\mzkit\src\mzkit\msconvertGUI\msconvertGUI.vbproj,msconvertGUI\FormMain.vb,200,16,42,142,1,4,18,4,0,7145,7.14 KB
G:\mzkit\src\mzkit\msconvertGUI\msconvertGUI.vbproj,msconvertGUI\TaskProgress.Designer.vb,72,17,5,50,1,0,2,0,0,2596,2.60 KB
G:\mzkit\src\mzkit\msconvertGUI\msconvertGUI.vbproj,msconvertGUI\TaskProgress.vb,14,0,5,9,1,0,3,0,0,347,347 B
G:\mzkit\src\mzkit\msconvertGUI\msconvertGUI.vbproj,msconvertGUI\My Project\Application.Designer.vb,37,14,5,18,1,0,2,0,0,1466,1.47 KB
G:\mzkit\src\mzkit\msconvertGUI\msconvertGUI.vbproj,<project>,657,145,75,437,6,4,28,7,0,26547,26.55 KB
G:\mzkit\src\mzkit\mzblender\mzblender.vbproj,mzblender\Blender.vb,17,10,3,4,1,0,0,0,0,463,463 B
G:\mzkit\src\mzkit\mzblender\mzblender.vbproj,mzblender\GdiInterop.vb,72,0,10,62,1,0,0,4,0,1995,2.00 KB
G:\mzkit\src\mzkit\mzblender\mzblender.vbproj,mzblender\ChromatogramPlot\ChromatogramBlender.vb,43,0,5,38,1,0,2,1,0,1775,1.77 KB
G:\mzkit\src\mzkit\mzblender\mzblender.vbproj,mzblender\ChromatogramPlot\XIC3DBlender.vb,38,0,6,32,1,0,1,1,0,1565,1.56 KB
G:\mzkit\src\mzkit\mzblender\mzblender.vbproj,mzblender\MSImaging\HeatMapBlender.vb,41,0,12,29,1,0,2,2,0,1456,1.46 KB
G:\mzkit\src\mzkit\mzblender\mzblender.vbproj,mzblender\MSImaging\MSImagingBlender.vb,100,15,18,67,1,6,1,3,0,3546,3.55 KB
G:\mzkit\src\mzkit\mzblender\mzblender.vbproj,mzblender\MSImaging\RGBIonMSIBlender.vb,83,6,16,61,1,1,2,3,0,3515,3.52 KB
G:\mzkit\src\mzkit\mzblender\mzblender.vbproj,mzblender\MSImaging\SingleIonMSIBlender.vb,112,7,19,86,1,2,2,2,0,4301,4.30 KB
G:\mzkit\src\mzkit\mzblender\mzblender.vbproj,mzblender\MSImaging\SummaryMSIBlender.vb,162,21,27,114,1,1,2,4,0,6271,6.27 KB
G:\mzkit\src\mzkit\mzblender\mzblender.vbproj,mzblender\MSIRender\BlenderClient.vb,175,30,29,116,1,2,4,7,0,6845,6.84 KB
G:\mzkit\src\mzkit\mzblender\mzblender.vbproj,mzblender\MSIRender\MemoryPipe.vb,13,0,3,10,1,0,2,0,0,389,389 B
G:\mzkit\src\mzkit\mzblender\mzblender.vbproj,mzblender\MSIRender\Protocol.vb,23,12,0,11,1,0,0,0,0,552,552 B
G:\mzkit\src\mzkit\mzblender\mzblender.vbproj,mzblender\MSIRender\Service.vb,265,23,44,198,1,0,4,10,0,11757,11.76 KB
G:\mzkit\src\mzkit\mzblender\mzblender.vbproj,mzblender\My Project\Application.Designer.vb,12,9,1,2,0,0,0,0,0,451,451 B
G:\mzkit\src\mzkit\mzblender\mzblender.vbproj,<project>,1156,133,193,830,13,12,22,37,0,44881,44.88 KB
G:\mzkit\src\mzkit\services\BioDeep\BioDeep.vbproj,BioDeep\LocalLibrary\RQLib.vb,215,47,36,132,1,0,5,7,0,7582,7.58 KB
